#,Title,Speaker,Year,Month,Session,URL
145,Why The Church of Jesus Christ of Latter-day Saints,Marion G. Romney,1972,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/why-the-church-of-jesus-christ-of-latter-day-saints?lang=eng
146,"“Thy Will Be Done, O Lord”",Franklin D. Richards,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/thy-will-be-done-o-lord?lang=eng
147,Planting Gospel Seeds of Spirituality,David B. Haight,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/planting-gospel-seeds-of-spirituality?lang=eng
148,To Serve the Master,O. Leslie Stone,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/to-serve-the-master?lang=eng
149,To Become One of the Fishers,James E. Faust,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/to-become-one-of-the-fishers?lang=eng
150,Keep the Commandments,Sterling W. Sill,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/keep-the-commandments?lang=eng
151,How to Gain a Testimony,Loren C. Dunn,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/how-to-gain-a-testimony?lang=eng
152,“Strengthen Thy Brethren”,Paul H. Dunn,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/strengthen-thy-brethren?lang=eng
153,The Saints Securely Dwell,Boyd K. Packer,1972,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/the-saints-securely-dwell?lang=eng
154,Watch the Switches in Your Life,Gordon B. Hinckley,1972,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/watch-the-switches-in-your-life?lang=eng
155,The Sure Word of God,Vaughn J. Featherstone,1972,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/the-sure-word-of-god?lang=eng
156,Caring for the Poor and Needy,Marion G. Romney,1972,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/caring-for-the-poor-and-needy?lang=eng
157,The Priesthood and Its Presidency,N. Eldon Tanner,1972,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/the-priesthood-and-its-presidency?lang=eng
158,Admonitions for the Priesthood of God,Harold B. Lee,1972,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/admonitions-for-the-priesthood-of-god?lang=eng
